,paciente_chb13_10,paciente_chb13_30,paciente_chb03_10,paciente_chb03_30,paciente_chb22_10,paciente_chb22_30,paciente_chb20_10,paciente_chb20_30,paciente_chb17_10,paciente_chb17_30,paciente_chb19_10,paciente_chb19_30
loss,1.0022422075271606,0.9551388025283813,1.1631779670715332,0.9704565405845642,1.1221803426742554,3.7155930954213545e-07,0.7602379322052002,0.48607587814331055,0.9067299962043762,1.0236717462539673,1.1499675512313843,0.00015764115960337222
accuracy,0.7813765406608582,0.6666666865348816,0.04048582911491394,0.1975308656692505,0.13765181601047516,1.0,0.3481781482696533,0.34567901492118835,0.32793521881103516,0.3414634168148041,0.15789473056793213,1.0
tp,0.0,0.0,0.0,0.0,0.0,81.0,2.0,28.0,0.0,0.0,0.0,76.0
fp,0.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,0.0,0.0,0.0,0.0
tn,494.0,162.0,494.0,162.0,494.0,162.0,484.0,109.0,494.0,164.0,456.0,152.0
fn,247.0,81.0,247.0,81.0,247.0,0.0,245.0,53.0,247.0,82.0,228.0,0.0
f1_score,[0.87703013 0.14545456 0.        ],[0.7903226  0.27027026 0.        ],[0.         0.14285713 0.03076923],[0.03030303 0.31578946 0.        ],[0.0776699  0.26666668 0.03703704],[1. 1. 1.],[0.38461536 0.30901286 0.        ],[0.46464646 0.15873016 0.        ],[0.36575875 0.2905983  0.        ],[0.4301075  0.22857144 0.        ],[0.         0.30837005 0.03921569],[1. 1. 0.]
categorical_crossentropy,0.9713148474693298,0.9683485627174377,1.1491754055023193,1.005253791809082,1.1258583068847656,9.050804692378733e-07,0.8669540882110596,0.72076815366745,0.9506857991218567,1.0080671310424805,1.1218030452728271,0.0003731322940438986
precision,0.0,0.0,0.0,0.0,0.0,1.0,0.1666666716337204,0.34567901492118835,0.0,0.0,0.0,1.0
recall,0.0,0.0,0.0,0.0,0.0,1.0,0.008097166195511818,0.34567901492118835,0.0,0.0,0.0,1.0
auc,0.8461825847625732,0.7964487075805664,0.18461211025714874,0.6034141778945923,0.3943639397621155,1.0,0.6762895584106445,0.6675431132316589,0.6479781270027161,0.6757882833480835,0.42867034673690796,1.0
prc,0.6817066669464111,0.6570878624916077,0.21114365756511688,0.354655921459198,0.2608630061149597,1.0,0.3949301242828369,0.40357130765914917,0.3753342628479004,0.41900402307510376,0.28470009565353394,1.0
val_loss,0.9666751623153687,0.9598963856697083,1.142340898513794,1.0127571821212769,1.1260173320770264,3.094334125518799,0.8918772339820862,0.949895977973938,0.9712342023849487,1.0158716440200806,1.1170328855514526,100.20417785644531
val_accuracy,0.7924528121948242,0.8055555820465088,0.009433962404727936,0.1388888955116272,0.14150942862033844,0.8055555820465088,0.15094339847564697,0.1666666716337204,0.14018692076206207,0.1666666716337204,0.16161616146564484,0.6060606241226196
val_tp,0.0,0.0,0.0,0.0,0.0,29.0,0.0,6.0,0.0,0.0,0.0,20.0
val_fp,0.0,0.0,0.0,0.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,13.0
val_tn,212.0,72.0,212.0,72.0,212.0,65.0,212.0,42.0,214.0,72.0,198.0,53.0
val_fn,106.0,36.0,106.0,36.0,106.0,7.0,106.0,30.0,107.0,36.0,99.0,13.0
val_f1_score,[0.8842105 0.        0.       ],[0.8923077 0.        0.       ],[0.         0.         0.01869159],[0.         0.24390246 0.        ],[0.         0.24793388 0.        ],[0.90625 0.      0.     ],[0.        0.2622951 0.       ],[0.        0.2857143 0.       ],[0.         0.24590164 0.        ],[0.        0.2857143 0.       ],[0.         0.27826086 0.        ],[0.75471693 0.         0.        ]
val_categorical_crossentropy,0.9666751623153687,0.9598963856697083,1.142340898513794,1.0127571821212769,1.1260173320770264,3.094334125518799,0.8918772339820862,0.949895977973938,0.9712342023849487,1.0158716440200806,1.1170328855514526,100.20417785644531
val_precision,0.0,0.0,0.0,0.0,0.0,0.8055555820465088,0.0,0.1666666716337204,0.0,0.0,0.0,0.6060606241226196
val_recall,0.0,0.0,0.0,0.0,0.0,0.8055555820465088,0.0,0.1666666716337204,0.0,0.0,0.0,0.6060606241226196
val_auc,0.8867924213409424,0.8888888955116272,0.09433960914611816,0.5555555820465088,0.15094339847564697,0.86998450756073,0.5613207221031189,0.5694444179534912,0.5467289686203003,0.5694444179534912,0.5707070231437683,0.733700692653656
val_prc,0.7501175999641418,0.761600911617279,0.19706298410892487,0.3237036466598511,0.2098711133003235,0.7774743437767029,0.32666605710983276,0.3310580253601074,0.31999650597572327,0.3310580253601074,0.33129239082336426,0.5734349489212036
